date,mode,avg_daily_pax
2024-01,Metro bus,298683
2024-01,Metro train,439467
2024-01,Regional bus,25989
2024-01,Regional train,47222
2024-01,Tram,409122
2024-02,Metro bus,357486
2024-02,Metro train,516586
2024-02,Regional bus,31750
2024-02,Regional train,47343
2024-02,Tram,461143
2024-03,Metro bus,372193
2024-03,Metro train,565093
2024-03,Regional bus,34586
2024-03,Regional train,54043
2024-03,Tram,501071
2024-04,Metro bus,343158
2024-04,Metro train,555883
2024-04,Regional bus,34783
2024-04,Regional train,56996
2024-04,Tram,505875
2024-05,Metro bus,325271
2024-05,Metro train,518786
2024-05,Regional bus,33400
2024-05,Regional train,52821
2024-05,Tram,443443
2024-06,Metro bus,306379
2024-06,Metro train,477800
2024-06,Regional bus,30979
2024-06,Regional train,50121
2024-06,Tram,401236
2024-07,Metro bus,331404
2024-07,Metro train,509617
2024-07,Regional bus,32500
2024-07,Regional train,54783
2024-07,Tram,432825
2024-08,Metro bus,346671
2024-08,Metro train,531357
2024-08,Regional bus,32293
2024-08,Regional train,53607
2024-08,Tram,441086
2024-09,Metro bus,333732
2024-09,Metro train,528805
2024-09,Regional bus,29882
2024-09,Regional train,57009
2024-09,Tram,424264
2024-10,Metro bus,351573
2024-10,Metro train,546509
2024-10,Regional bus,31109
2024-10,Regional train,60414
2024-10,Tram,478477
2024-11,Metro bus,322357
2024-11,Metro train,490607
2024-11,Regional bus,26436
2024-11,Regional train,54293
2024-11,Tram,462743
2024-12,Metro bus,297875
2024-12,Metro train,438795
2024-12,Regional bus,27540
2024-12,Regional train,52395
2024-12,Tram,437375
2025-01,Metro bus,297945
2025-01,Metro train,456360
2025-01,Regional bus,24880
2025-01,Regional train,51085
2025-01,Tram,432985
2025-02,Metro bus,327821
2025-02,Metro train,493693
2025-02,Regional bus,28979
2025-02,Regional train,53507
2025-02,Tram,466393
2025-03,Metro bus,361300
2025-03,Metro train,579400
2025-03,Regional bus,31750
2025-03,Regional train,60921
2025-03,Tram,506150
2025-04,Metro bus,359667
2025-04,Metro train,551179
2025-04,Regional bus,30325
2025-04,Regional train,58521
2025-04,Tram,486875
2025-05,Metro bus,334943
2025-05,Metro train,539786
2025-05,Regional bus,27386
2025-05,Regional train,59164
2025-05,Tram,463750
2025-06,Metro bus,305707
2025-06,Metro train,474200
2025-06,Regional bus,25657
2025-06,Regional train,52993
2025-06,Tram,404536
2025-07,Metro bus,323258
2025-07,Metro train,489596
2025-07,Regional bus,27779
2025-07,Regional train,57154
2025-07,Tram,415367
2025-08,Metro bus,330400
2025-08,Metro train,510129
2025-08,Regional bus,27643
2025-08,Regional train,56257
2025-08,Tram,397929
2025-09,Metro bus,329105
2025-09,Metro train,506545
2025-09,Regional bus,28623
2025-09,Regional train,61000
2025-09,Tram,402586
2025-10,Metro bus,330570
2025-10,Metro train,504125
2025-10,Regional bus,29115
2025-10,Regional train,60600
2025-10,Tram,408745
2025-11,Metro bus,312057
2025-11,Metro train,471950
2025-11,Regional bus,27771
2025-11,Regional train,54000
2025-11,Tram,422357
2025-12,Metro bus,304956
2025-12,Metro train,475225
2025-12,Regional bus,29288
2025-12,Regional train,56750
2025-12,Tram,395675
2026-01,Metro bus,304300
2026-01,Metro train,503231
2026-01,Regional bus,28300
2026-01,Regional train,44412
