station,lat,lon,annual_entries,weekday,normal_weekday,school_holiday_weekday,saturday,sunday,am_peak,interpeak,pm_peak,pm_late
Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,3600,12600,33650,10900
Southern Cross,-37.81793643,144.9514112,14696050,47600,49250,41600,26500,19550,3100,9300,30800,5500
Melbourne Central,-37.80993877,144.9625935,11876900,38300,39700,33000,20650,17250,1650,9500,21750,6550
Parliament,-37.81105406,144.9729109,6344650,22350,23550,17950,6450,4750,850,3950,16000,2600
Footscray,-37.80108298,144.9031992,4383950,14000,14450,12350,8850,5800,3850,4050,4750,1000
Richmond,-37.82407446,144.9901643,3712750,9850,9600,10700,13000,8850,900,1350,4400,2800
Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,850,2550,8450,1150
Caulfield,-37.87745946,145.0425248,3205100,9600,9950,8250,8250,5600,2350,2500,3600,1200
South Yarra,-37.83844935,144.9923422,3199050,10350,10950,8150,5900,4100,2600,2500,4600,950
Box Hill,-37.81922165,145.1214289,2648350,8350,8650,7100,5350,4100,2600,2400,2750,500
Glenferrie,-37.82146682,145.0364388,1978650,6800,7300,4900,2500,1900,1050,2000,3450,650
Dandenong,-37.98996792,145.2097254,1970750,6300,6500,5450,3750,2800,1350,1700,2400,600
Oakleigh,-37.90037214,145.0883079,1624200,5150,5400,4350,3150,2250,1500,1300,1950,400
Huntingdale,-37.91101734,145.1023643,1590050,5650,6200,3650,1500,1050,1400,1500,2550,550
Sunshine,-37.78853633,144.8328782,1577600,5100,5300,4400,2800,2050,1650,1300,1700,300
Ringwood,-37.81588648,145.2289685,1514250,4650,4700,4500,3350,2450,1300,1250,1500,350
Clayton,-37.92468255,145.1205344,1514000,4750,4950,4050,3050,2350,1350,1300,1500,450
Craigieburn,-37.6018169,144.9433203,1508250,4800,5000,4150,2900,2150,2400,1100,550,150
Springvale,-37.94950878,145.1534518,1429400,4300,4500,3750,3300,2650,1200,1300,1350,350
North Melbourne,-37.80630984,144.9415102,1394050,3950,3900,4150,4100,3050,600,800,1850,450
